Term,Category,Search_Pattern
Climate Bonds Resilience Taxonomy (CBRT),Framework,Climate* Bond* Resilien* Taxonom* OR CBRT
ISO 14090 (Climate Change Adaptation),Framework,ISO 1409*
NIST Community Resilience Planning Guide,Framework,NIST* Resilien*
Resilience by design,Framework,resilien* by* design* OR resilien* based* design*
Resilience engineering,Framework,resilien* engineer* OR cornerstone* of* resilien*
Sendai Framework for Disaster Risk Reduction,Framework,Sendai* OR DRR
TCFD / ISSB Resilience Guidance,Framework,TCFD* OR ISSB* OR climate* scenar* analysis*
Adaptive Capacity,General Concept,adapt* capaci*
Climate Risk Assessment,General Concept,climat* risk* assess* OR CRVA
Climate adaptation,General Concept,climat* adapt*
Climate resilience,General Concept,climat* resilien*
Climate resilience investments,General Concept,climat* resilien* invest*
Disaster Risk Management,General Concept,disaster* risk* manag* OR DRM
Ecological resilience,General Concept,ecolog* resilien* OR basin* of* attraction*
Engineering resilience,General Concept,engineer* resilien* OR return* to* equilibrium*
Operational resilience,General Concept,operation* resilien* OR infrastructure* resilien*
Social-ecological resilience,General Concept,social* ecolog* resilien* OR socio*ecolog* OR adaptive* resilien*
System of systems,General Concept,system* of* system*
Adapted activities,Investment Type,adapt* activit*
Adapting measures,Investment Type,adapt* measur*
Asset relocation / Realignment,Investment Type,asset* relocat* OR realign* OR retreat*
Avoidance,Investment Type,avoid* OR reduce* exposure*
Climate proofing,Investment Type,climat* proof*
Climate-informed maintenance,Investment Type,predict* mainten* OR climate* risk* mainten*
Defense infrastructure,Investment Type,sea*wall* OR dike* OR levee* OR flood* barri*
Early Warning Systems (EWS),Investment Type,early* warn* OR EWS
Enabling activities,Investment Type,enabl* activit*
Enabling measures,Investment Type,enabl* measur*
Mitigation,Investment Type,mitigat* OR risk* reduction*
Monitoring,Investment Type,monitor* OR sens* OR collect* data* OR condition* based*
Prevention,Investment Type,prevent* OR hazard* intervention*
Protection,Investment Type,protect* OR adjust* system* propert*
Redundancy investments,Investment Type,redundanc* invest* OR dual* feed*
Retrofitting,Investment Type,retrofi* OR rehab* OR moderni*
Changes to marine conditions,Physical Climate Hazard,marin* condition* OR ocean* acidi* OR sea* surf* temp*
Coastal erosion,Physical Climate Hazard,coastal* eros* OR beach* eros*
Cold stress,Physical Climate Hazard,cold* stress* OR extrem* cold* OR frost* OR freez*
Flood damage,Physical Climate Hazard,flood* OR inundat* OR pluvial* OR fluvial*
Grid failure / Blackout,Physical Climate Hazard,grid* fail* OR power* outage* OR blackout*
Heat stress,Physical Climate Hazard,heat* stress* OR extrem* heat* OR heat*wave*
Mass movement damage,Physical Climate Hazard,landslid* OR mudslid* OR mass* movement* OR avalanch*
Multi-hazard,Physical Climate Hazard,multi* hazard* OR compound* event* OR cascad* fail*
Permafrost thaw,Physical Climate Hazard,permafrost* thaw* OR cryospher* change*
Press disturbance,Physical Climate Hazard,press* disturb* OR chronic* disturb* OR long* term* change*
Pulse disturbance,Physical Climate Hazard,pulse* disturb* OR shock* OR acute* disturb*
Scour damage,Physical Climate Hazard,bridge* scour* OR scour* damag*
Sea level rise (SLR),Physical Climate Hazard,sea* level* rise* OR SLR
Storm damage,Physical Climate Hazard,storm* OR cyclon* OR typhon* OR hurrican* OR gale*
Storm surge,Physical Climate Hazard,storm* surge*
Stressor,Physical Climate Hazard,stressor* OR stress* factor*
Thermal expansion,Physical Climate Hazard,thermal* expans* OR rail* buckl*
Water stress / Drought,Physical Climate Hazard,water* stress* OR drought* OR water* scarc*
Wildfire damage,Physical Climate Hazard,wildfire* OR bushfire* OR forest* fire*
Acceptable Risk,Qualification Concept,accept* risk*
Acceptance,Qualification Concept,accept* risk* OR residual* risk* judgment*
Anti-fragility,Qualification Concept,anti*fragil* OR benefit* from* stress*
Brittleness,Qualification Concept,brittl* OR sudden* collapse*
Climate Scenarios (RCP/SSP),Qualification Concept,RCP* OR SSP* OR climate* scenario* OR IPCC* scenario*
Deep uncertainty,Qualification Concept,deep* uncertain* OR total* ignorance*
Do no significant harm (DNSH),Qualification Concept,do* no* significat* harm* OR DNSH
Fragility,Qualification Concept,fragil* OR lack* of* capacity*
Fragility curve,Qualification Concept,fragil* curve* OR impact* function* OR vulnerab* curve*
Key performance indicator (KPI),Qualification Concept,KPI* OR key* perform* indicator*
